unique_id	birth_year	status	fitness_class	sex	SNPed	beach	plate_number	plate_location	tissue_id	tissue_id_alt1
ID_10453	2019	BeachDead	NonRecruited	F	FALSE	SSB	127	NA	AGP19232	NA
ID_11161	2019	NonRecruited	NonRecruited	F	FALSE	SSB	128	NA	AGP19352	NA
ID_8087	2018	NonRecruited	NonRecruited	F	TRUE	SSB	NA	NA	AGP18027	NA
ID_8122	2018	BeachDead	NonRecruited	F	TRUE	SSB	96	NA	AGP18182	NA
ID_11797	2017	BeachDead	NonRecruited	F	FALSE	SSB	135	NA	AGP17194	NA
ID_11808	2017	NonRecruited	NonRecruited	F	FALSE	SSB	135	NA	AGP17205	NA
ID_8516	2017	Recruited	Recruited	F	FALSE	SSB	99	NA	AGP17398	NA
ID_13260	2016	BeachDead	NonRecruited	F	FALSE	SSB	151	NA	AGP16224	NA
ID_13264	2016	NonRecruited	NonRecruited	F	FALSE	SSB	151	NA	AGP16228	NA
ID_13306	2016	Recruited	Recruited	F	FALSE	SSB	151	NA	AGP16271	NA
ID_12825	2015	BeachDead	NonRecruited	F	FALSE	SSB	146	NA	AGP15156	NA
ID_13061	2015	NonRecruited	NonRecruited	F	FALSE	SSB	149	NA	AGP15392	NA
ID_10237	2014	BeachDead	NonRecruited	F	FALSE	SSB	118	NA	AGP14221	NA
ID_6346	2014	Recruited	Recruited	F	FALSE	SSB	71	10C	AGP14096	NA
ID_7683	2014	NonRecruited	NonRecruited	F	FALSE	SSB	89	9H	AGP14018	NA
ID_10000	2013	BeachDead	NonRecruited	F	FALSE	SSB	115	NA	AGP13150	NA
ID_10079	2013	Recruited	Recruited	F	FALSE	SSB	116	NA	AGP13229	NA
ID_9867	2013	NonRecruited	NonRecruited	F	FALSE	SSB	114	NA	AGP13016	NA
ID_9320	2012	BeachDead	NonRecruited	F	FALSE	SSB	108	NA	AGP12144	NA
ID_9356	2012	Recruited	Recruited	F	FALSE	SSB	108	NA	AGP12180	NA
ID_9639	2012	NonRecruited	NonRecruited	F	FALSE	SSB	111	NA	AGP12465	NA
ID_5400	2011	NonRecruited	NonRecruited	F	TRUE	SSB	53	NA	AGP11018	NA
ID_6931	2011	BeachDead	NonRecruited	F	TRUE	SSB	79	9E	AGP11196	NA
ID_6969	2011	Recruited	Recruited	F	TRUE	SSB	80	5A	AGP11420	NA
